2026-02-06 16:46:02 | INFO | [Main] GW2 closed. Waiting grace period...
2026-02-06 16:46:05 | INFO | [Main] GW2 reopened within grace period, resuming...
2026-02-06 18:03:46 | INFO | Final arcdps log detected: C:\Users\deven\Documents\GUILD WARS 2\addons\arcdps\arcdps.cbtlogs\Voice of the Fallen (22343)\20260206-180345.zevtc
2026-02-06 18:03:51 | INFO | [Upload] Uploaded: https://dps.report/TRHt-20260206-180345_falln (Success: True, Boss: The Voice and The Claw, Players: 10, CM: False)
2026-02-06 18:03:51 | INFO | [Session] Starting new session
2026-02-06 18:03:51 | INFO | [Session] Added successful Voice of the Fallen (Voice and Claw) to IBS Strikes: C:\Users\deven\Documents\GUILD WARS 2\addons\arcdps\arcdps.cbtlogs\Voice of the Fallen (22343)\20260206-180345.zevtc
2026-02-06 18:03:52 | INFO | [Discord] Session posted.
2026-02-06 18:12:59 | INFO | Final arcdps log detected: C:\Users\deven\Documents\GUILD WARS 2\addons\arcdps\arcdps.cbtlogs\Cardinal Adina (22006)\20260206-181259.zevtc
2026-02-06 18:13:02 | INFO | [Upload] Uploaded: https://dps.report/YmJU-20260206-181259_adina (Success: False, Boss: Cardinal Adina, Players: 10, CM: False)
2026-02-06 18:13:02 | INFO | [Session] Log skipped (not enough core members)
2026-02-06 18:21:26 | INFO | Final arcdps log detected: C:\Users\deven\Documents\GUILD WARS 2\addons\arcdps\arcdps.cbtlogs\Cardinal Adina (22006)\20260206-182125.zevtc
2026-02-06 18:21:36 | INFO | [Upload] Uploaded: https://dps.report/mYZ7-20260206-182125_adina (Success: True, Boss: Cardinal Adina, Players: 10, CM: False)
2026-02-06 18:21:36 | INFO | [Session] Log skipped (not enough core members)
2026-02-06 18:27:32 | INFO | Final arcdps log detected: C:\Users\deven\Documents\GUILD WARS 2\addons\arcdps\arcdps.cbtlogs\Cardinal Sabir (21964)\20260206-182731.zevtc
2026-02-06 18:27:43 | INFO | [Upload] Uploaded: https://dps.report/CTRc-20260206-182731_sabir (Success: True, Boss: Cardinal Sabir, Players: 10, CM: False)
2026-02-06 18:27:43 | INFO | [Session] Log skipped (not enough core members)
2026-02-06 18:35:13 | INFO | Final arcdps log detected: C:\Users\deven\Documents\GUILD WARS 2\addons\arcdps\arcdps.cbtlogs\Qadim the Peerless (22000)\20260206-183513.zevtc
2026-02-06 18:35:21 | INFO | [Upload] Uploaded: https://dps.report/tzMz-20260206-183513_qpeer (Success: False, Boss: Qadim the Peerless, Players: 10, CM: False)
2026-02-06 18:35:21 | INFO | [Session] Skipping failed attempt: Qadim the Peerless
2026-02-06 18:35:21 | INFO | [Discord] Session updated.
